QuestionBank{problemId= ID33846, generateDate= 13/11/2020, problemName= add two number, shortDescription= no thing to say, fullDescription= olaolaoalaoal, markWeight= 20.0, category= sql, author= null}
QuestionBank{problemId= ID75221, generateDate= 13/11/2020, problemName= fasfasdfas, shortDescription= fasfasdfasdf, fullDescription= fsa, markWeight= 23.0, category= sql, author= null}
QuestionBank{problemId= ID35003, generateDate= 13/11/2020, problemName= asdfsf, shortDescription= asdfas, fullDescription= fsdaf, markWeight= 32.0, category= sql, author= null}
QuestionBank{problemId= ID78271, generateDate= 13/11/2020, problemName= dsfgasdf, shortDescription= fasdfasfas, fullDescription= fasfsdfasdfdfasfsdafasdfa, markWeight= 32.0, category= cea, author= null}
QuestionBank{problemId= ID52704, generateDate= 13/11/2020, problemName= fdasdfasdfasdf, shortDescription= asdsadfasfasf, fullDescription= fgsdagsdgsgas, markWeight= 32.0, category= sql, author= null}
QuestionBank{problemId= ID36350, generateDate= 13/11/2020, problemName= rweqrqw, shortDescription= rweqrqwerrqwrqwerqw, fullDescription= rtgegfdggsdgsdgsdgsdsdfg, markWeight= 342.0, category= sql, author= null}
QuestionBank{problemId= ID83429, generateDate= 13/11/2020, problemName= fdsaffasfsad, shortDescription= fasfasdfafadfsd, fullDescription= fasa, markWeight= 21.0, category= sql, author= null}
QuestionBank{problemId= ID60933, generateDate= 13/11/2020, problemName= no name, shortDescription= nothing, fullDescription= nothing to say, markWeight= 22.0, category= 1234, author= Duc Hieu Phan}
QuestionBank{problemId= ID24023, generateDate= 13/11/2020, problemName= sdfasdf, shortDescription= sfadf, fullDescription= �, markWeight= 44.0, category= sql, author= Duc Hieu Phan}
QuestionBank{problemId= ID54490, generateDate= 13/11/2020, problemName= jvsdfafa, shortDescription= fsdfsfa, fullDescription= fsdfaf, markWeight= 4.0, category= sql, author= Phan Nguyen Duc Hieu}
QuestionBank{problemId= ID51627, generateDate= 13/11/2020, problemName= asf, shortDescription= safffggegesfs, fullDescription= afregegegwegevfefefregeesesesdgesfges, markWeight= 3.0, category= cea, author= Phan Nguyen Duc Hieu}
QuestionBank{problemId= ID23980, generateDate= 13/11/2020, problemName= aaabbbccc, shortDescription= nothing , fullDescription= nothing in here, markWeight= 4.0, category= sql, author= Phan Duc Hieu}
